Question*1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Restrict single-family building permits?*1.0,limit*1.0,growth management*3.0,growth control*3.0,growth*1.5,scheduled development*1.0,maximum*2.0,no more*1.0,population*1.0,annual*1.0,year*1.0,fixed*2.0,controlled*2.0,quota*2.0,moratorium*2.0,allocate*2.0,cap*2.0,approved*1.0,calculation*1.0,,,,,,,,,,,,,,,,,,,,,
2. Restrict multi-family building permits?*1.0,limit*1.0,growth management*3.0,growth control*3.0,growth*1.5,scheduled development*1.0,maximum*2.0,no more*1.0,population*1.0,annual*1.0,year*1.0,fixed*2.0,controlled*2.0,quota*2.0,moratorium*2.0,allocate*2.0,cap*2.0,approved*1.0,calculation*1.0,,,,,,,,,,,,,,,,,,,,,
3. Restrict number of single-family units authorized for construction?*1.0,construction*1.0,unit*1.0,dwelling*1.0,limit*1.0,single family*0.0,multi family*-0.0,growth management*3.0,growth control*3.0,growth*1.5,scheduled development*2.0,maximum*2.0,population*1.0,annual*1.0,year*1.0,fixed*2.0,controlled*1.0,quota*1.0,moratorium*2.0,allocate*1.0,cap*2.0,approved*1.0,,,,,,,,,,,,,,,,,,
4. Restrict number of multi-family units authorized for construction?*1.0,construction*1.0,unit*1.0,dwelling*1.0,limit*1.0,multi family*0.0,single family*-0.0,growth management*3.0,growth control*3.0,growth*1.5,scheduled development*2.0,maximum*2.0,population*1.0,annual*1.0,year*1.0,fixed*2.0,controlled*1.0,quota*1.0,moratorium*2.0,allocate*1.0,cap*2.0,approved*1.0,,,,,,,,,,,,,,,,,,
5. Restrict number of multi-family dwellings?*1.0,restricted*1.0,allowable*1.0,limit*1.0,multi family*0.0,growth management*3.0,growth control*3.0,growth*1.0,scheduled development*1.0,maximum*2.0,no more*1.0,population*1.0,fixed*1.0,controlled*2.0,quota*2.0,moratorium*2.0,allocate*1.0,annual*1.0,year*1.0,cap*2.0,approved*1.0,calculation*1.0,dwellings*1.0,,,,,,,,,,,,,,,,,
6. Restrict number of multi-family dwelling units?*1.0,restricted*1.0,allowable*1.0,limit*1.0,multi family*0.0,growth management*3.0,growth control*3.0,growth*1.0,scheduled development*1.0,maximum*2.0,no more*1.0,population*1.0,fixed*1.0,controlled*2.0,quota*2.0,moratorium*2.0,allocate*1.0,annual*1.0,year*1.0,cap*2.0,approved*1.0,calculation*1.0,dwelling units*1.0,units*1.0,,,,,,,,,,,,,,,,
7. Minimum lot sizes?*1.0,minimum*3.0,lot size*2.0,lot area*2.0,lot*1.0,building area*2.0,acreage*2.0,shall be*1.0,require*1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Maximum permitted density?,maximum permitted density*5.5,maximum allowable denisty*5.5,density*3.0,acres per dwelling unit*3.0,acres for each dwelling unit*3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Require open space?*1.0,open space*2.0,at least*1.0,no less*1.0,minimum amount*1.0,minimum of*1.0,percent*1.0,in lieu*1.5,set aside*1.0,pay*1.0,fee*1.0,preserve*1.0,require amount*1.5,require*1.0,contribute*1.0,dedicate*1.0,reserve*1.0,provide*1.0,devoted*1.0,,,,,,,,,,,,,,,,,,,,,
10. Inclusionary zoning requirements?*1.0,inclusionary*3.0,affordable*3.0,affordability*2.0,mixed income housing*2.5,nonprofit housing*2.5,workforce housing*2.5,low cost housing*2.5,set aside*2.0,in lieu*2.0,defer*2.0,waive*2.0,waiver*2.0,impact fee*2.0,housing fee*2.0,density bonus*2.5,density bonuses*2.5,increase in density*2.5,density may be increased*2.5,additional densities*2.5,density increases*2.5,above the base density*2.5,height increase*2.5,require*1.0,reserve*1.0,refund*1.0,exempt*2.0,shall not apply*2.0,unit per acre*2.0,shall not be required*2.0,incentives*2.0,taxation*1.0,payments*1.0,parking*1.0,space per dwelling unit*0.5,additional*1.0,height*1.5,at least*1.5,deed restricted*1.0,percent*1.0
"11. Council approval, no rezone?",use permit*2.0,building permit*2.0,zoning permit*2.0,construction permit*2.0,improvement location permit*2.0,special permit*2.0,site plan review*2.0,site plan approval*2.0,special permit granting authority*2.0,conditional use approval*2.0,conditional permitted use*2.0,design review*2.0,public hearing*2.0,developer's agreement*2.0,development agreement*2.0,development agreements*2.0,type ii*2.0,type 2*2.0,type iii*2.0,type 3*2.0,conditional use*1.0,plat*1.0,planned unit development*1.0,review*1.0,report*1.0,application*1.0,construction*1.0,issue*1.0,recommend*1.0,recommendation*1.0,recommendations*1.0,approve*1.0,grant*1.0,certification*1.0,plan*1.0,fee schedule*-1.0,schedule of fees*-1.0,,
"12. Planning board approval, no rezone?",use permit*2.0,building permit*2.0,zoning permit*2.0,construction permit*2.0,improvement location permit*2.0,special permit*2.0,site plan review*2.0,site plan approval*2.0,special permit granting authority*2.0,conditional use approval*2.0,conditional permitted use*2.0,design review*2.0,public hearing*2.0,developer's agreement*2.0,development agreement*2.0,development agreements*2.0,type ii*2.0,type 2*2.0,type iii*2.0,type 3*2.0,conditional use*1.0,plat*1.0,planned unit development*1.0,review*1.0,report*1.0,application*1.0,construction*1.0,issue*1.0,recommend*1.0,recommendation*1.0,recommendations*1.0,approve*1.0,grant*1.0,certification*1.0,plan*1.0,fee schedule*-1.0,schedule of fees*-1.0,,
"13. County board approval, no rezone?",use permit*2.0,building permit*2.0,zoning permit*2.0,construction permit*2.0,improvement location permit*2.0,special permit*2.0,site plan review*2.0,site plan approval*2.0,special permit granting authority*2.0,conditional use approval*2.0,conditional permitted use*2.0,design review*2.0,public hearing*2.0,developer's agreement*2.0,development agreement*2.0,development agreements*2.0,type ii*2.0,type 2*2.0,type iii*2.0,type 3*2.0,conditional use*1.0,plat*1.0,planned unit development*1.0,review*1.0,report*1.0,application*1.0,construction*1.0,issue*1.0,recommend*1.0,recommendation*1.0,recommendations*1.0,approve*1.0,grant*1.0,certification*1.0,plan*1.0,fee schedule*-1.0,schedule of fees*-1.0,,
"14. Public health office, no rezone?",use permit*2.0,building permit*2.0,zoning permit*2.0,construction permit*2.0,improvement location permit*2.0,special permit*2.0,site plan review*2.0,site plan approval*2.0,special permit granting authority*2.0,conditional use approval*2.0,conditional permitted use*2.0,design review*2.0,public hearing*2.0,developer's agreement*2.0,development agreement*2.0,development agreements*2.0,type ii*2.0,type 2*2.0,type iii*2.0,type 3*2.0,conditional use*1.0,plat*1.0,planned unit development*1.0,review*1.0,report*1.0,application*1.0,construction*1.0,issue*1.0,recommend*1.0,recommendation*1.0,recommendations*1.0,approve*1.0,grant*1.0,certification*1.0,plan*1.0,fee schedule*-1.0,schedule of fees*-1.0,,
"15. Site plan review required, no rezone?",use permit*2.0,building permit*2.0,zoning permit*2.0,construction permit*2.0,improvement location permit*2.0,special permit*2.0,site plan review*2.0,site plan approval*2.0,special permit granting authority*2.0,conditional use approval*2.0,conditional permitted use*2.0,design review*2.0,public hearing*2.0,developer's agreement*2.0,development agreement*2.0,development agreements*2.0,type ii*2.0,type 2*2.0,type iii*2.0,type 3*2.0,conditional use*1.0,plat*1.0,planned unit development*1.0,review*1.0,report*1.0,application*1.0,construction*1.0,issue*1.0,recommend*1.0,recommendation*1.0,recommendations*1.0,approve*1.0,grant*1.0,certification*1.0,plan*1.0,fee schedule*-1.0,schedule of fees*-1.0,,
