cbsa10,munis_in_data,name,munis_in_msa,coverage_rate
10180,1,"Abilene, TX Metropolitan Statistical Area",17,0.058823529
10420,11,"Akron, OH Metropolitan Statistical Area",58,0.189655172
10500,1,"Albany, GA Metropolitan Statistical Area",12,0.083333333
10540,3,"Albany-Lebanon, OR Micropolitan Statistical Area",13,0.230769231
10580,7,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",101,0.069306931
10740,4,"Albuquerque, NM Metropolitan Statistical Area",19,0.210526316
10780,1,"Alexandria, LA Metropolitan Statistical Area",33,0.03030303
10900,14,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",107,0.130841121
11020,2,"Altoona, PA Metropolitan Statistical Area",24,0.083333333
11100,1,"Amarillo, TX Metropolitan Statistical Area",12,0.083333333
11180,2,"Ames, IA Metropolitan Statistical Area",31,0.064516129
11260,2,"Anchorage, AK Metropolitan Statistical Area",6,0.333333333
11460,5,"Ann Arbor, MI Metropolitan Statistical Area",28,0.178571429
11540,6,"Appleton, WI Metropolitan Statistical Area",48,0.125
11700,3,"Asheville, NC Metropolitan Statistical Area",67,0.044776119
12060,30,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",141,0.212765957
12100,5,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",23,0.217391304
12220,2,"Auburn-Opelika, AL Metropolitan Statistical Area",6,0.333333333
12260,2,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",26,0.076923077
12420,5,"Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",49,0.102040816
12540,3,"Bakersfield-Delano, CA Metropolitan Statistical Area",11,0.272727273
12580,7,"Baltimore-Towson, MD Metropolitan Statistical Area",78,0.08974359
12620,7,"Bangor, ME Metropolitan Statistical Area",64,0.109375
12700,4,"Barnstable Town, MA Metropolitan Statistical Area",15,0.266666667
12940,3,"Baton Rouge, LA Metropolitan Statistical Area",117,0.025641026
12980,2,"Battle Creek, MI Metropolitan Statistical Area",28,0.071428571
13140,5,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",21,0.238095238
13220,1,"Beckley, WV Micropolitan Statistical Area",8,0.125
13460,1,"Bend, OR Metropolitan Statistical Area",4,0.25
13740,1,"Billings, MT Metropolitan Statistical Area",8,0.125
13780,3,"Binghamton, NY Metropolitan Statistical Area",39,0.076923077
13820,8,"Birmingham-Hoover, AL Metropolitan Statistical Area",88,0.090909091
13900,2,"Bismarck, ND Metropolitan Statistical Area",59,0.033898305
13980,3,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",26,0.115384615
14010,2,"Bloomington-Normal, IL Metropolitan Statistical Area",52,0.038461538
14100,1,"Bloomsburg-Berwick, PA Micropolitan Statistical Area",44,0.022727273
14260,3,"Boise City-Nampa, ID Metropolitan Statistical Area",22,0.136363636
14460,57,"Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area",195,0.292307692
14500,2,"Boulder, CO Metropolitan Statistical Area",9,0.222222222
14540,1,"Bowling Green, KY Metropolitan Statistical Area",6,0.166666667
14740,3,"Bremerton-Silverdale, WA Metropolitan Statistical Area",4,0.75
14860,11,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",29,0.379310345
15180,3,"Brownsville-Harlingen, TX Metropolitan Statistical Area",18,0.166666667
15260,1,"Brunswick, GA Metropolitan Statistical Area",4,0.25
15380,8,"Buffalo-Niagara Falls, NY Metropolitan Statistical Area",67,0.119402985
15500,4,"Burlington, NC Metropolitan Statistical Area",22,0.181818182
15540,8,"Burlington-South Burlington, VT Metropolitan Statistical Area",40,0.2
15940,4,"Canton-Massillon, OH Metropolitan Statistical Area",55,0.072727273
15980,1,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",6,0.166666667
16020,1,"Cape Girardeau-Jackson, MO-IL Metropolitan Statistical Area",35,0.028571429
16060,1,"Carbondale, IL Micropolitan Statistical Area",27,0.037037037
16180,1,"Carson City, NV Metropolitan Statistical Area",1,1
16220,1,"Casper, WY Metropolitan Statistical Area",6,0.166666667
16300,4,"Cedar Rapids, IA Metropolitan Statistical Area",98,0.040816327
16540,1,"Chambersburg, PA Micropolitan Statistical Area",21,0.047619048
16580,1,"Champaign-Urbana, IL Metropolitan Statistical Area",90,0.011111111
16620,4,"Charleston, WV Metropolitan Statistical Area",44,0.090909091
16700,4,"Charleston-North Charleston-Summerville, SC Metropolitan Statistical Area",26,0.153846154
16740,7,"Charlotte-Gastonia-Rock Hill, NC-SC Metropolitan Statistical Area",105,0.066666667
16820,1,"Charlottesville, VA Metropolitan Statistical Area",23,0.043478261
16860,3,"Chattanooga, TN-GA Metropolitan Statistical Area",48,0.0625
16980,106,"Chicago-Joliet-Naperville, IL-IN-WI Metropolitan Statistical Area",560,0.189285714
17020,3,"Chico, CA Metropolitan Statistical Area",5,0.6
17140,32,"Cincinnati-Middletown, OH-KY-IN Metropolitan Statistical Area",239,0.133891213
17420,1,"Cleveland, TN Metropolitan Statistical Area",15,0.066666667
