
Alhambra, California Code of Ordinances


TITLE I:  GENERAL PROVISIONS



   Chapter



      1.04   DEFINITIONS AND CITATIONS



      1.08   CONSTRUCTION AND INTERPRETATION



      1.12   VIOLATIONS PROCEDURE



      1.13   ADMINISTRATIVE CITATIONS



CHAPTER 1.04:  DEFINITIONS AND CITATIONS



Section



   1.04.010   Citation of code



   1.04.020   Definitions generally



   1.04.030   City



   1.04.040   Code



   1.04.050   Council



   1.04.060   Computation of time



   1.04.070   County



   1.04.080   Day



   1.04.090   Daytime, nighttime



   1.04.091   City departments



   1.04.100   Gender



   1.04.110   In the city



   1.04.120   Joint authority



   1.04.130   Month



   1.04.140   Number



   1.04.150   Oath



   1.04.160   Or, and



   1.04.170   Owner



   1.04.180   Person



   1.04.190   Personal property



   1.04.200   Preceding, following



   1.04.210   Process



   1.04.220   Property



   1.04.230   Real property



   1.04.240   Roadway



   1.04.250   Shall, may



   1.04.260   Sidewalk



   1.04.270   Signature or subscription



   1.04.280   State



   1.04.290   Street, highway



   1.04.300   Tenant or occupant



   1.04.310   Tenses



   1.04.320   Week



   1.04.330   Writing



   1.04.340   Year



   1.04.350   Reserved



§ 1.04.010  CITATION OF CODE.



   The ordinances embraced in the following chapters and sections shall
constitute and be designated the “Alhambra Municipal Code,” of the City
of Alhambra, California, and may be so cited.



('86 Code, § 1.04.010)



§ 1.04.020  DEFINITIONS GENERALLY.



   In the construction of this code and of all ordinances of the city, the
following rules shall be observed, unless such construction would be
inconsistent with the manifest intent of the City Council or the context
clearly requires otherwise.



('86 Code, § 1.04.020)



§ 1.04.030  CITY.



   THE CITY or THIS CITY shall be construed as if followed by the words
“of Alhambra.” 



('86 Code, § 1.04.030)



§ 1.04.040  CODE.



   THE CODE or THIS CODE shall mean the “Alhambra Municipal Code,” of
the City of Alhambra, California.



('86 Code, § 1.04.040)



§ 1.04.050  COUNCIL.



   COUNCIL or CITY COUNCIL shall be construed to mean the City Council of
the City of Alhambra.



('86 Code, § 1.04.050)



§ 1.04.060  COMPUTATION OF TIME.



   The time in which any act provided by law is to be done is computed by
excluding the first day and including the last unless the last day is a
holiday and then it is also excluded.



('86 Code, § 1.04.060)



Statutory reference:



   For statutory definition concerning computation of time, see Cal. Gov't
Code § 6800



§ 1.04.070  COUNTY.



   THE COUNTY or THIS COUNTY shall mean the county of Los Angeles of this
state.



('86 Code, § 1.04.070)



§ 1.04.080  DAY.



   DAY means the period of time between any midnight and the midnight
following.



('86 Code, § 1.04.080)



Statutory reference:



   For statutory definition concerning “days,” see Cal. Gov't Code §
6806



§ 1.04.090  DAYTIME, NIGHTTIME.



   DAYTIME means the period of time between sunrise and sunset. NIGHTTIME
means the period of time between sunset and sunrise.



('86 Code, § 1.04.090)



