cbsa10,cbsaname10,responses,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,open_space,inclusionary,half_acre_less,half_acre_more,one_acre_more,two_acre_more,total_nz,total_rz,maxden5,maxden4,maxden3,maxden2,maxden1,adu,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,zri_median,zri_range,zri_median_up,zri_range_up,zri_median_st,zri_range_st,zri_median_up_st,zri_range_up_st,cc_zri,noncc_zri_max,zri_diff,zri_abs_diff,zri_full,zri_full_st
10180,"Abilene, TX Metropolitan Statistical Area",1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,3,1,0,0,0,0,1,27.5,100,18.5,40,2,1,2.090038388,0,1.783535795,0.306502593,0.052411352,-1.146343219,0.196922958,-0.921881177,2.090038388,NA,NA,NA,NA,NA
10420,"Akron, OH Metropolitan Statistical Area",11,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,1,0.818181818,0.090909091,0.272727273,0.363636364,0.090909091,0.272727273,1.909090909,2.818181818,0.636363636,0.090909091,0.090909091,0.181818182,0,0.181818182,32.45454545,33.81818182,2.204545455,2.181818182,1.704545455,1.590909091,1.821208991,2.412431937,1.163052695,2.364469122,-0.301342179,0.815145272,-0.618074925,1.297520219,1.821208991,3.194723665,1.373514673,1.373514673,3.194723665,0.666601906
10500,"Albany, GA Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,3,0,1,0,0,0,1,35,35,20,20,2,2,3.12813125,0,2.70397715,0.4241541,1.418441334,-1.146343219,1.405912784,-0.795000629,3.12813125,NA,NA,NA,NA,NA
10540,"Albany-Lebanon, OR Micropolitan Statistical Area",2,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0.5,1.5,3,1,0,0,0,0,1,27.5,25,1.5,1,2,1.5,2.429215039,2.088017224,2.242435683,1.649485973,0.498735078,0.551371727,0.799683028,0.526451022,3.473223651,1.385206427,-2.088017224,2.088017224,0.341197815,-1.326950141
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",7,0,0,0,0,0,0,1,0.285714286,0.285714286,0.714285714,0,0.142857143,0.142857143,2.142857143,2.714285714,0.571428571,0.428571429,0,0,0,0.714285714,24.28571429,25.28571429,2,1.833333333,2.357142857,2.142857143,1.589330921,3.615592292,1.367337171,2.86778702,-0.606471332,1.793405075,-0.349749462,1.840320323,NA,NA,NA,NA,NA,NA
10740,"Albuquerque, NM Metropolitan Statistical Area",4,0,0,0.25,0.25,0,0,1,0.5,0.75,0.5,0.5,0,0,2.25,2,0.25,0.75,0,0,0,0.5,27,36.5,2,2,1.625,1.5,1.669067567,1.769885291,1.435706315,1.604160489,-0.501545605,0.292706554,-0.259947326,0.477570032,3.050225406,2.057795018,-0.992430388,0.992430388,0.676637178,-1.092602928
10780,"Alexandria, LA Metropolitan Statistical Area",1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3,1,0,0,0,0,1,35,35,3,3,2,2,2.482239481,0,2.093522103,0.388717378,0.568510125,-1.146343219,0.604086641,-0.833217145,2.482239481,NA,NA,NA,NA,NA
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",14,0,0,0,0,0,0,1,0.928571429,0.142857143,0.357142857,0.285714286,0.214285714,0.142857143,1.642857143,2.714285714,0.428571429,0.5,0.071428571,0,0,0.357142857,35.79166667,34.58333333,2.318181818,2,1.389285714,1.857142857,1.866497653,3.100019503,1.258023256,2.148613025,-0.241746673,1.374205645,-0.493332115,1.064731534,NA,NA,NA,NA,NA,NA
11020,"Altoona, PA Metropolitan Statistical Area",2,0,0,0,0,0,0,1,0.5,0,0.5,0.5,0,0,1,2,0.5,0,0.5,0,0,0,35,52.5,1.375,1.25,1.5,1,0.862974521,0.69804126,0.490694392,0.348126877,-1.562286227,-0.578783207,-1.50121033,-0.876991722,0.513953891,1.211995151,0.69804126,0.69804126,1.561015781,-0.474751586
11100,"Amarillo, TX Metropolitan Statistical Area",1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,0,1,0,0,0,0,15,12,3,3,2,2,1.356384957,0,0.745453279,0.610931677,-0.913005731,-1.146343219,-1.166587269,-0.593571495,1.356384957,NA,NA,NA,NA,NA
11180,"Ames, IA Metropolitan Statistical Area",2,0,0,0,0,0,0,1,1,0,0.5,0,0.5,0,2.5,3,1,0,0,0,0,0.5,36.5,32.5,4,4,1.75,1.5,2.411330662,1.180243341,1.774479452,0.664813729,0.475200965,-0.186716671,0.185027548,-0.535462727,3.001452333,1.821208991,-1.180243341,1.180243341,1.23108732,-0.70524873
11260,"Anchorage, AK Metropolitan Statistical Area",2,0,0,0,0,0,0,1,1,0.5,0.5,0,0,0.5,2,2.5,0.5,0.5,0,0,0,1,15,15,3,2.5,2,1,2.396862588,2.152722126,2.149397983,1.686977724,0.456162376,0.603981676,0.677479009,0.566883771,3.473223651,1.320501525,-2.152722126,2.152722126,0.244140462,-1.394757091
11460,"Ann Arbor, MI Metropolitan Statistical Area",4,0,0,0,0,0,0,1,1,0.25,0.25,0.25,0,0.5,2.25,2.75,0.5,0.5,0,0,0,0.5,21.875,18.5,4,2.5,1.375,1,2.672590698,1.285109653,2.081142028,0.839649278,0.818993949,-0.101452478,0.587825546,-0.346912401,NA,NA,NA,NA,NA,NA
11500,"Anniston-Oxford, AL Metropolitan Statistical Area",1,0,0,0,0,0,0,1,1,1,0,0,1,0,3,3,1,0,0,0,0,0,29.5,45,3,3,1,1,3.476863713,0,2.548449522,0.928414191,1.877339586,-1.146343219,1.201628916,-0.251184423,NA,NA,NA,NA,NA,NA
11540,"Appleton, WI Metropolitan Statistical Area",6,0,0,0,0,0,0,1,0.833333333,0,0.666666667,0.166666667,0,0.166666667,1.833333333,3.166666667,0.666666667,0.333333333,0,0,0,0.333333333,34.5,29,6.041666667,9.5,2.25,1.5,1.821208991,1.347083668,1.396995513,0.471340514,-0.301342179,-0.051062945,-0.310793548,-0.74411273,1.821208991,2.65271987,0.831510879,0.831510879,2.65271987,0.287943071
