GEOID,statename,place,type,restrict_sf_permit,restrict_mf_permit,limit_sf_units,limit_mf_units,limit_mf_dwellings,limit_mf_dwelling_units,min_lot_size,open_space,inclusionary,half_acre_less,half_acre_more,one_acre_more,two_acre_more,max_den_cat1,max_den_cat2,max_den_cat3,max_den_cat4,max_den_cat5,council_nz,planning_nz,countybrd_nz,pubhlth_nz,site_plan_nz,env_rev_nz,council_rz,planning_rz,zoning_rz,countybrd_rz,countyzone_rz,townmeet_rz,env_rev_rz,total_nz,total_rz,adu,height_ft_median,height_ft_mode,height_st_median,height_st_mode,parking_median,parking_mode,mf_per,maxden5,maxden4,maxden3,maxden2,maxden1,sindex1,sindex2,sindex3,sindex4,sindex5,sindex6,sindex7,sindex8,height_st_median_sc,height_st_mode_sc,sindex9,sindex10,sindex11,sindex9_st,sindex10_st,zri,zri_st,add_index,zri_up,zri_up_st,wt_all_2019,st_wt_all_2019,wt_msa_2019,st_wt_msa_2019,wt_lmsa_2019,st_wt_lmsa_2019,timestamp
102956,AL,Athens,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,1,12,10,2,2,2,2,0.285714286,0,1,0,0,0,0,0,1,2,2,2,0,1,28,28,12,2,0.285714286,-1.775182629,0.164805906,0.804928735,-1.231125668,8,0.881832597,-0.765642732,14.02290218,0.88663661,10.64012534,1.206220158,NA,NA,8/22/2019 15:49
103076,AL,Auburn,City,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,1,35,45,2,2,2,2,0.058823529,0,0,1,0,0,0,1,4,2,2,3,0,1,28,28,35,2,0.058823529,0.049086297,0.164805906,2.152012404,0.19985284,13,1.919779554,0.419003807,2.132858276,0.134855839,2.491260765,0.282422327,NA,NA,8/22/2019 15:50
105980,AL,Bessemer,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,0,35,35,NA,NA,4.25,1,0.285714286,1,0,0,0,0,0,1,1,3,3,1,0,0,NA,NA,35,4.25,0.285714286,0.049086297,2.5210866,2.217050146,0.26894106,9,1.174291209,-0.431849102,10.15737032,0.642227713,6.965198473,0.789611262,NA,NA,7/16/2019 14:21
107000,AL,Birmingham,City,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,3,3,0,45,45,3,3,3,1,0.428571429,0,1,0,0,0,0,1,1,3,3,2,0,0,42,42,45,3,0.428571429,0.842246699,1.21204177,1.871957746,-0.097643303,10,1.014156396,-0.614616776,2.120791285,0.13409287,2.194011668,0.248724617,NA,NA,7/16/2019 14:21
114392,AL,Chickasaw,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,3,3,1.5,2,0.666666667,1,0,0,0,0,0,1,1,2,3,1,0,0,42,42,35,1.5,0.666666667,0.049086297,-0.358812026,1.821208991,-0.151552633,8,1.155307879,-0.453515466,13.09400411,0.827904472,8.369652289,0.948827479,NA,NA,10/18/2019 23:07
115064,AL,Citronelle,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,35,35,2,2,2,2,0,0,1,0,0,0,0,1,1,2,3,2,0,0,28,28,35,2,0,0.049086297,0.164805906,1.476116591,-0.518136996,9,0.745634087,-0.921091035,41.52711752,2.625666374,22.33832924,2.532389625,NA,NA,7/16/2019 14:21
115136,AL,Clanton,City,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,2,3,0,50,35,10.5,10.5,2,2,0,1,0,0,0,0,0,0,3,2,3,1,0,0,147,147,50,2,0,1.2388269,0.164805906,2.090038388,0.134019153,9,1.200021321,-0.402482391,18.63008297,1.177938305,13.93357694,1.579583026,NA,NA,7/16/2019 14:21
120104,AL,Decatur,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,35,35,3,3,1.5,1,0.384615385,0,1,0,0,0,0,0,1,2,1,2,0,1,42,42,35,1.5,0.384615385,0.049086297,-0.358812026,0.649313669,-1.396432263,7,0.916207673,-0.72640921,11.54337593,0.729861735,8.841856448,1.002359008,NA,NA,7/16/2019 14:21
121184,AL,Dothan,City,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,1,20,20,3,3,1,1,0.272727273,1,0,0,0,0,0,0,3,1,2,1,0,1,42,42,20,1,0.272727273,-1.140654307,-0.882429958,1.538582166,-0.451781135,8,1.556220389,0.004060535,8.363053957,0.528777119,7.113382588,0.806410187,NA,NA,7/16/2019 14:21
124184,AL,Enterprise,City,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,16,16,NA,NA,2,2,0.111111111,1,0,0,0,0,0,0,3,2,2,1,0,0,NA,NA,16,2,0.111111111,-1.457918468,0.164805906,1.934423322,-0.031287442,8,1.242522672,-0.353974056,8.055003842,0.509299802,NA,NA,NA,NA,7/16/2019 14:21
124568,AL,Eufaula,City,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,40,45,2.25,2.5,1.5,1,0.5,0,0,1,0,0,0,0,1,2,3,3,0,0,31.5,35,40,1.5,0.5,0.445666498,-0.358812026,0.615451401,-1.432403435,9,0.173008548,-1.574649349,11.61698072,0.7345156,NA,NA,NA,NA,8/22/2019 15:56
125240,AL,Fairhope,City,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,1,37.5,55,2.5,3,1,1,0.277777778,0,1,0,0,0,0,1,4,2,3,2,0,1,35,42,37.5,1,0.277777778,0.247376397,-0.882429958,2.65271987,0.731743798,13,2.289520754,0.84100286,9.451428922,0.597592624,7.148719836,0.810416202,NA,NA,8/22/2019 16:00
126992,AL,Foley,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,2,3,0,50,50,2,2,2,2,0.3,0,1,0,0,0,0,1,1,2,3,2,0,0,28,28,50,2,0.3,1.2388269,0.164805906,1.476116591,-0.518136996,9,0.784225407,-0.877045361,21.10475676,1.334406371,15.54345609,1.76208733,NA,NA,7/16/2019 14:21
128552,AL,Fultondale,City,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,30,35,2,1,1.2,1,0.625,1,0,0,0,0,0,0,1,0,3,1,0,0,28,14,30,1.2,0.625,-0.347493905,-0.672982786,0.513953891,-1.540222094,5,0.199912784,-1.543942569,20.30475691,1.283824177,14.84886855,1.683345261,NA,NA,3/3/2021 14:29
132416,AL,Guntersville,City,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,4,2,1,25,25,2,2,1,1,0.363636364,0,1,0,0,0,0,1,3,4,2,2,0,1,28,28,25,1,0.363636364,-0.744074106,-0.882429958,2.896586021,0.990797656,13,2.551921991,1.140490918,12.0313298,0.760713962,NA,NA,NA,NA,3/10/2021 9:59
133448,AL,Hartselle,City,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,3,2,1,35,35,3,3,2,2,0.25,0,0,1,0,0,0,1,1,3,2,3,0,1,42,42,35,2,0.25,0.049086297,0.164805906,1.37125028,-0.629534261,11,1.292478903,-0.296957196,24.47242663,1.547336573,16.88884852,1.91460804,NA,NA,7/16/2019 14:21
