order_2003,caseno_2003,jurisid,full_fip,stfips_2003,stcofips,countyfp,statefp,placefp,survnum_2003,juris_2003,lsadc_2003,basename,areaname_2003,coname_2003,county_name,region,state_name,cmsano99_2003,cmsanm99_2003,cmsast_2003,resp1994_2003,surv1994_2003,pop00tot_2003,pop2000,land_tot_2003,sample_2003,jurtype_2003,jurtype2_2003,n_juris_2003,n_surv_2003,jurstype_2003,jurscode_2003,popcode_2003,titlcode_2003,zipcode_2003,plan_2003,planyear_2003,zoneord_2003,zoneyear_2003,maxdens_2003,maxdchng_2003,mobhome_2003,hypodev_2003,rzvote_2003,selectrz_2003,anexvote_2003,anexyear_2003,glimit_2003,grwth_limit_2003,usbusa_2003,usbdate_2003,ugb_2003,ugbdate_2003,grnbelt_2003,gbdate_2003,ull_2003,ulldate_2003,resdpace_2003,pcntcont_2003,pcntyear_2003,bcnumber_2003,moratyn_2003,morat_2003,moratpct_2003,moratst_2003,moratexp_2003,moratend_2003,mafexmp_2003,otherglm_2003,glmstart_2003,glmend_2003,impctfee_2003,ifyn_2003,if_cbc,if_formula,ifsfrate_2003,ifsinfam_2003,ifmfrate_2003,ifschool_2003,ifstorm_2003,iftransp_2003,ifpubsaf_2003,ifwater_2003,ifparkos_2003,ifwsuply_2003,ifwaste_2003,ifother_2003,ifotype1_2003,ifotype2_2003,ifotype3_2003,ifotype4_2003,afincntv_2003,afinctv2_2003,afbonus_2003,afinclzn_2003,afincpct_2003,izpctbin_2003,afhsgfee_2003,affastrk_2003,aflinkfe_2003,afother_2003,afother1_2003,afother2_2003,afother3_2003,afother4_2003,afother5_2003,afother6_2003,oprogram_2003,opstaff_2003,oppha_2003,opconvrs_2003,opwaiver_2003,opother_2003,opother1_2003,opother2_2003,opother3_2003,opother4_2003,affunits_2003,rehabpub_2003,ahpub_2003,rehabprv_2003,ahprvloc_2003,rehabfed_2003,ahprvfed_2003,aftotal_2003,afmech_2003,ahtf_2003,reg1970_2003,reg1980_2003,reg1990_2003,regchnge_2003,apfo_2003,apfodate_2003,apschool_2003,apstorm_2003,aptrans_2003,appubsaf_2003,apwater_2003,appark_2003,apother_2003,aptotal_2003,ap2subjs_2003,ap4subjs_2003,filter___2003,apfo_yn_2003,data03_2003,areakey_2003,pmsano99_2003,intptlat_2003,intptlon_2003,zoning_2003,spwlcntr_2003,pacecntl_2003,fee_sfdu_2003,dborincl_2003,spcnt2_2003,pacecnt2_2003,popcode2_2003,cmsastpc_2003,cmsaspc2_2003,impctfe2_2003,popcode3_2003,stpopjt_2003,jtstpop_2003,jtstcmpo_2003,plan2003_2003,zone_2003,ldoz_2003,hdok_2003,morat_yn_2003,ahdb_2003,ahin_2003,zndn_2003,znup_2003,pace_2003,juristype,jurisbin,popbin
1411,1411,"0404720","0401304720",4,"04013","013","04","04720","2","Avondale","58","Avondale","AZ, Avondale","Maricopa County","Maricopa County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,1,1,35883,35802,106860972,0,1,1,5,4,1,1,2,1,85321,1,2002,1,.s,3,1,1,1,0,.n,0,.n,1,1,0,.n,0,.n,0,.n,1,1990,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,9140,2706,0,0,1,1,1,1,1,1,1,10,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,1,1,0,0,0,0,0,0,0,0,.s,.s,.s,.s,.s,.s,.s,0,0,3,2,1,-1,0,.n,.n,.n,.n,.n,.n,.n,,0,0,0,,0,1,"0404720",6200,33.454202,-112.315043,4,3,0,3,0,1,0,3,6200043,6200043,1,1,431,1043,10493,1,1,0,0,0,0,0,0,0,0,"city",1,2
1414,1414,"0427400","0401327400",4,"04013","013","04","27400","8","Gilbert","60","Gilbert","AZ, Gilbert","Maricopa County","Maricopa County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,1,1,109697,109936,111257178,0,1,1,7,4,1,1,4,1,85296,1,2002,1,2002,5,3,0,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,0,0,1,1,1,1,1,1,1,10,0,0,0,1,0,1,0,,.n,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,224,0,0,0,0,,.s,,.s,,.s,,0,0,.s,1,1,-1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"0427400",6200,33.344439,-111.762411,6,0,0,,1,0,0,5,6200045,6200045,1,2,451,1045,10495,1,1,0,1,0,1,0,0,1,0,"town",1,4
1415,1415,"0427820","0401327820",4,"04013","013","04","27820","9","Glendale","58","Glendale","AZ, Glendale","Maricopa County","Maricopa County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,1,1,218812,218596,144222482,0,1,1,7,4,1,1,4,5,85301,1,2002,1,1993,4,1,2,1,0,.n,.s,.s,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,0,1,1,1,1,1,1,1,1,10,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,1,1,0,0,0,0,0,0,0,0,,.s,,.s,,.s,,2,0,2,2,4,1,0,.n,.n,.n,.n,.n,.n,.n,,0,0,0,0,0,1,"0427820",6200,33.580726,-112.199309,5,0,0,,0,0,0,5,6200045,6200045,1,2,451,1045,10495,1,1,0,0,0,0,0,0,0,0,"city",1,5
1416,1416,"0428380","0401328380",4,"04013","013","04","28380","3014","Goodyear","58","Goodyear","AZ, Goodyear","Maricopa County","Maricopa County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,-1,0,18911,18779,301631910,0,1,1,4,2,1,1,1,1,85338,1,1998,1,1999,4,2,1,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,.n,.n,0,0,1,1,1,1,1,1,1,40,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,0,1,224,0,0,0,0,,.s,,.s,,.s,,0,0,2,3,4,1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"0428380",6200,33.389655,-112.398977,5,0,0,,0,0,0,2,6200042,6200042,1,1,421,1042,10492,1,1,0,0,0,0,0,1,0,0,"city",1,1
1418,1418,"0446000","0401346000",4,"04013","013","04","46000","14","Mesa","58","Mesa","AZ, Mesa","Maricopa County","Maricopa County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,1,1,396375,397215,323715859,0,1,1,2,2,1,1,4,1,85201,1,2002,1,2002,4,1,2,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,0,1,0,0,0,0,0,0,0,0,.s,.s,.s,.s,.s,.s,.s,0,0,2,4,4,1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,,.s,1,"0446000",6200,33.411199,-111.746438,5,0,0,3,0,0,0,6,6200046,6200046,,2,461,1046,10495,1,1,0,0,0,0,0,0,0,0,"city",1,5
1419,1419,"0455000","0401355000",4,"04013","013","04","55000","18","Phoenix","58","Phoenix","AZ, Phoenix","Maricopa County","Maricopa County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,1,1,1321045,1320994,1229893925,0,1,1,2,2,1,1,4,,85003,1,.s,1,1994,5,3,2,1,0,.n,0,.n,1,1,0,.n,0,.n,0,.n,1,2000,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,7800,.n,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,,.n,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,.s,,.s,,.s,,1,1,2,2,2,0,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"0455000",6200,33.52837,-112.0763,6,5,0,3,1,1,0,6,6200046,6200046,1,2,461,1046,10495,1,1,0,1,0,1,0,0,1,0,"city",1,5
1421,1421,"0471510","0401371510",4,"04013","013","04","71510","21","Surprise","58","Surprise","AZ, Surprise","Maricopa County","Maricopa County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,-1,0,30848,30886,179988427,0,1,1,5,4,1,1,2,2,85383,1,2000,1,1997,5,3,2,1,1,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,1,1,1,0,.n,.n,.n,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,1,0,0,0,0,0,0,5,1,,,,,225,0,0,2,2,2,0,2,1990,0,0,1,1,1,1,,5,1,1,,1,1,"0471510",6200,33.651785,-112.397197,6,0,0,,0,0,0,3,6200043,6200043,1,1,431,1043,10493,1,1,0,1,0,0,0,0,1,0,"city",1,2
1422,1422,"0473000","0401373000",4,"04013","013","04","73000","22","Tempe","58","Tempe","AZ, Tempe","Maricopa County","Maricopa County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,1,1,158625,158426,103761893,0,1,1,7,4,1,1,4,2,85280,1,2001,1,2002,5,1,0,1,0,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,2,1,0,1,.s,3240,3240,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,.n,0,0,0,1,140,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2380,1,,,1200,1,3580,2,0,2,2,2,0,2,1978,0,1,1,0,1,1,,5,1,1,,1,1,"0473000",6200,33.388696,-111.928783,6,0,0,3,0,0,0,5,6200045,6200045,1,2,451,1045,10495,1,1,0,1,0,0,0,0,0,0,"city",1,5
1417,1417,"0499013","0401399999",4,"04013","013","04","99999","13","Maricopa","06","Maricopa County","AZ, Maricopa County","Maricopa County","Maricopa County","West","AZ",6200,"Phoenix-Mesa, AZ MSA",620004,1,1,211050,3072149,19640624627,0,3,3,7,4,3,3,4,1,85004,1,1997,1,2002,5,1,2,1,0,.n,0,.n,1,1,1,1997,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,1,1,1,0,.n,.n,.n,0,0,1,0,0,1,0,0,1,40,0,0,0,1,0,1,0,,.n,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,.s,,.s,,.s,,1,1,3,2,2,-1,2,1997,0,1,1,0,0,0,0,2,0,0,0,1,1,"0499013",6200,33.494514,-112.087906,6,4,0,,1,1,0,5,6200045,6200045,1,2,453,304,30490,1,1,0,1,0,1,0,0,0,0,"county",3,5
827,827,"0408220","0401508220",4,"04015","015","04","08220","3","Bullhead City","58","Bullhead City","AZ, Bullhead City","Mohave County, AZ","Mohave County","West","AZ",4120,"Las Vegas, NV-AZ MSA",412004,-1,0,33769,33852,117145458,0,1,1,3,3,1,1,2,2,86442,1,1996,1,2002,5,2,2,1,1,.n,0,.n,0,0,0,.n,0,.n,0,.n,0,.n,0,.n,.n,.n,0,0,.n,.n,,.n,.n,.s,.s,.s,1,1,1,0,.n,.n,.n,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,0,.s,.s,.s,.s,.s,.s,.s,.s,.s,0,,.s,,.s,,.s,,0,0,.s,1,1,-1,.s,.s,.s,.s,.s,.s,.s,.s,,.s,.n,.n,0,.s,1,"0408220",4120,35.115643,-114.588655,6,0,0,,0,0,0,3,4120043,4120043,1,1,431,1043,10493,1,1,0,1,0,0,0,1,0,0,"city",1,2
