jurisid_2019,statefp_2019,countyfp_2019,placefp_2019,stcofip_2019,full_fip_2019,basename_2019,county_name_2019,state_name_2019,region_2019,metro_nllus_2019,metro_nllus_id_2019,cbsa13_code_2019,cbsa13_name_2019,cbsa03_name_2019,s2019_dummy_2019,s2003_dummy_2019,s0319_dummy_2019,juristype_2019,summlevel_2019,summlevel2_2019,lsad_code_2019,city_cty_merge_2019,pop14_2019,pop17_2019,pop03_2019,landsqmi_2019,cbsa_sqmi_2019,sampleflag_2019,pilot_dummy_2019,survey_status_pilot_2019,status1_2019,status2_2019,respo_flag_2019,startdate_2019,enddate_2019,status_2019,progress_2019,durationinseconds_2019,finished_2019,recordeddate_2019,responseid_2019,distributionchannel_2019,userlanguage_2019,respojuris_2019,respostate_2019,respozip_2019,srjuristype_2019,resporole_2019,respootherrole_2019,respotitle_2019,respoothertitle_2019,respojuris_p_2019,respodept_p_2019,respodept_othertextp_2019,resporole_p_2019,respootherrolep_2019,jurisplan_dummy_2019,ext_plan_dummy_2019,ext_plan_juris_2019,ext_plan_title_2019,juris_masterplan_dummy_2019,mp_update_yr_2019,zo_dummy_2019,zo_alt_dummy_2019,zo_update_yr_2019,dupernacre_max_2019,hyp_densit_test_2019,hudcomp_perm_dummy_2019,hudcomp_temp_dummy_2019,tinyhome_dummy_2019,mobilehome_dummy_2019,rv_dummy_2019,min_dusize_sf_2019,adu_permit_2019,adu_permit2_2019,min_dusize_mf_2019,min_osparking_mf_2019,ugb_dummy_2019,growthmgmnt_dummy_2019,gm_popgrowthperyr_dummy_2019,gm_bpperyr_dummy_2019,gm_popgrowthperyr_2019,gm_bpperyr_2019,gm_ahexempt_2019,moratorium_2019,morat_body_2019,morat_applies_2019,morat_ahexempt_2019,if_dummy_2019,if_casebycase_2019,if_formula_dummy_2019,if_sqft_dummy_2019,if_unittype_dummy_2019,if_br_dummy_2019,if_impsurfacearea_dummy_2019,if_lotsize_dummy_2019,if_yn_2019,if_dpersqft_2019,if_dforsf_2019,if_dformf_2019,if_dnobr_2019,if_donebr_2019,if_dtwobr_2019,if_dthreebr_2019,if_dimpsurfacearea_2019,if_dlotarea_2019,if_appl_school_2019,if_appl_storm_2019,if_appl_transit_2019,if_appl_pubsafe_2019,if_appl_water_2019,if_appl_parks_2019,if_appl_waste_2019,if_appl_ah_2019,if_appl_other_2019,if_appl_othertext_2019,apfo_dummy_2019,apfo_school_dummy_2019,apfo_storm_dummy_2019,apfo_transit_dummy_2019,apfo_pubsafe_dummy_2019,apfo_water_dummy_2019,apfo_waste_dummy_2019,apfo_parks_dummy_2019,apfo_other_dummy_2019,apfo_othertext_2019,extinput_schools_2019,extinput_stormwater_2019,extinput_water_2019,extinput_hwyrds_2019,extinput_transit_2019,extinput_parks_2019,extinput_police_2019,extinput_fire_2019,ah_req_dummy_2019,pct_ah_req_2019,min_sfdu_ah_2019,min_mfdu_ah_2019,ah_fee_2019,ah_mix_design_2019,ah_quality_2019,number_ah_dus_2019,ah_noexmpt_2019,ah_bonusdens_2019,ah_buildenv_2019,ah_mindusize_2019,ah_adu_2019,ah_parking_2019,ah_ifwaiver_2019,ah_fasttrack_2019,ah_other_2019,ah_othertext_2019,ah_linkfee_2019,ah_tf_dummy_2019,ah_tf_fed_2019,ah_tf_lgov_2019,ah_tf_locrev_2019,lup_past_knowledge_2019,past_sf_amt_2019,past_sf_extent_2019,past_sf_densit_2019,past_mf_amt_2019,past_mf_undevamt_2019,past_mf_densit_2019,past_fees_2019,past_timereq_2019,past_numstaff_2019,past_extinvolve_2019,comments_2019,pilot_feedback_dummy_2019,pilot_srduration_2019,pilot_qreform_2019,pilot_qreform_text_2019,pilot_suggestions_2019,resp_nonresp_2019,apfo_other_dummySTR_2019,apfotc_2019,apfo_schooltc_2019,apfo_stormtc_2019,apfo_transittc_2019,apfo_pubsafetc_2019,apfo_watertc_2019,apfo_wastetc_2019,apfo_parkstc_2019,ah_otherSTR_2019,ah_noexmpttc_2019,ah_bondenstc_2019,ah_bldenvtc_2019,ah_mindusizetc_2019,ah_adutc_2019,ah_parkingtc_2019,ah_ifwaivertc_2019,ah_faskttracktc_2019,ah_linkfeetc_2019,ah_tftc_2019,ah_tf_fedtc_2019,ah_tf_lgovtc_2019,ah_tf_locrevtc_2019,if_pubsafetc_2019,if_parkstc_2019,if_othertc_2019,rotitle_tc_2019,rtitle_tc_2019,resporoletc_2019,if_schooltc_2019,if_stormtc_2019,if_transittc_2019,if_watertc_2019,if_wastetc_2019,if_ahtc_2019,jurisbin,popbin
"0199007","01","007","99999","01007","0100799999","Bibb County","Bibb County","AL","South","",,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"county","050",".",,0,22506,,"",622.582,,0,0,"","Finished Survey","Finished Survey",1,10jan2019 13:36:56,10jan2019 13:38:15,0,100,78,1,10jan2019 13:38:15,"R_3FR0lkhkXqAI0xv","email","EN","Bibb County","AL","35402",5,4,"Not Applicable",1,"Not Applicable","",,"",,"",0,0,".n",".n",.n,.n,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.s,.s,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",.n,.n,.n,.n,.n,.n,.n,.n,.n,".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",,,,"","",,"",.n,.n,.n,.n,.n,.n,.n,.n,"",.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,".n",1,4,.n,.n,.n,.n,.n,.n,3,2
"0199009","01","009","99999","01009","0100999999","Blount County","Blount County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"county","050","050",,0,57719,57667,"",644.776,,0,0,"","Partially Completed Survey","Partially Completed Survey",0,24jan2019 17:36:29,24jan2019 17:36:42,0,2,12,0,18feb2019 07:11:05,"R_214As8JdlQlKxbu","email","EN","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,3,3
"0199021","01","021","99999","01021","0102199999","Chilton County","Chilton County","AL","South","",,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"county","050",".",,0,43931,,"",692.854,,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,3,2
"0105980","01","073","05980","01073","0107305980","Bessemer","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,27560.053,26697,"",39.848,,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,2
"0107000","01","073","07000","01073","0107307000","Birmingham","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,212982.501,212265,"",146.067,,0,0,"","Partially Completed Survey","Partially Completed Survey",0,28jan2019 15:18:19,28jan2019 15:19:34,0,2,74,0,18feb2019 07:10:56,"R_0x0v3WSLLuT9e6d","email","EN","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,5
"0113264","01","073","13264","01073","0107313264","Center Point","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,16993.844,16564,"",6.116,,0,0,"","Finished Survey","Finished Survey",1,17jan2019 16:49:13,17jan2019 17:04:32,0,100,919,1,17jan2019 17:04:33,"R_2ZQDfy629tQZiPt","email","EN","City of Center Point","Al","35215",2,8,"Zoning Officer",1,"Not Applicable","",,"",,"",1,.n,".n",".n",1,11,1,.n,7,1,1,.s,.s,.s,.s,.s,2,1,.n,4,3,0,0,0,0,.n,.n,.n,0,.n,.n,.n,0,.n,.n,.n,.n,.n,.n,.n,0,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",0,.n,.n,.n,.n,.n,.n,.n,.n,".n",2,4,4,3,3,3,2,3,0,.n,.n,.n,.n,.n,.n,.n,1,0,0,0,0,0,0,0,0,".n",0,0,.n,.n,.n,2,2,2,2,2,2,2,3,2,3,2,"We have alot of investors buying single family dwellings and renting them which is driving property values down.",,,,"","",1,"",0,.n,.n,.n,.n,.n,.n,.n,"",1,0,0,0,0,0,0,0,0,2,.n,.n,.n,.n,.n,.n,".n",1,1,.n,.n,.n,.n,.n,.n,1,1
"0125120","01","073","25120","01073","0107325120","Fairfield","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,11156.287,10850,"",3.471,,0,0,"","Finished Survey","Finished Survey",1,15feb2019 09:06:31,15feb2019 11:29:09,0,100,8557,1,15feb2019 11:29:09,"R_1HnoiZvt3O299P6","email","EN","City of Fairfield","AL","35064",2,4,"Not Applicable",1,"Not Applicable","",,"",,"",0,0,".n",".n",.n,.n,.n,.n,,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.s,.s,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,".n",".n",".n",".n",".n",".n",".n",".n",".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",.n,.n,.n,.n,.n,.n,.n,.n,.n,".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,".n",.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,"Not Applicable",,,,"","",1,"",.n,.n,.n,.n,.n,.n,.n,.n,"",.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,.n,".n",1,4,.n,.n,.n,.n,.n,.n,1,1
"0129056","01","073","29056","01073","0107329056","Gardendale","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,13953.136,13799,"",22.545,,0,0,"","Email Sent","Email Sent",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,1
"0135800","01","073","35800","01073","0107335800","Homewood","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,25255.939,25678,"",8.362,,0,0,"","Email Failed","Email Failed",0,,,,,,,,"","","","","","",,,"",,"","",,"",,"",,,"","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","",,,,,,,,,,"",,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,"","",0,"",,,,,,,,,"",,,,,,,,,,,,,,,,,"",,,,,,,,,1,2
"0135896","01","073","35896","01073","0107335896","Hoover","Jefferson County","AL","South","Birmingham",4,"13820","Birmingham-Hoover, AL (Metro)","",1,0,0,"city","160","160",25,0,83076.829,84150,"",47.161,,0,0,"","Finished Survey","Finished Survey",1,30jan2019 16:03:01,31jan2019 06:54:23,0,100,53481,1,31jan2019 06:54:24,"R_2y3jRZgA3QGPyIl","email","EN","Hoover","AL","35216",2,1,"Not Applicable",1,"Not Applicable","",,"",,"",1,.n,".n",".n",0,.n,1,.n,3,2,0,.s,.s,.s,.s,.s,.s,.s,.n,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,".s","Skipped","Skipped","Skipped",".s",".s",".s",".s",".s",.s,.s,.s,.s,.s,.s,.s,.s,.s,"Skipped",.s,.s,.s,.s,.s,.s,.s,.s,.s,".s",.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,".s",.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,"",,,,"","",1,"",.s,.s,.s,.s,.s,.s,.s,.s,"",.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,.s,".n",1,1,.s,.s,.s,.s,.s,.s,1,3
