STATEFP10,PLACEFP10,PLACENS10,NAMELSAD,STATEFP00,PLACEFP00,NAMELSAD00,Comments
01,00100,02582661,Abanda CDP,,,,New CDP defined from area not in a 2000 place
01,00124,02403054,Abbeville city,01,00124,Abbeville city,Place in Census 2000
01,00460,02403063,Adamsville city,01,00460,Adamsville city,Place in Census 2000
01,00484,02405123,Addison town,01,00484,Addison town,Place in Census 2000
01,00676,02405125,Akron town,01,00676,Akron town,Place in Census 2000
01,00820,02403069,Alabaster city,01,00820,Alabaster city,Place in Census 2000
01,00988,02403074,Albertville city,01,00988,Albertville city,Place in Census 2000
01,01132,02403077,Alexander City city,01,01132,Alexander City city,Place in Census 2000
01,01180,02402638,Alexandria CDP,01,01180,Alexandria CDP,Place in Census 2000
01,01228,02403080,Aliceville city,01,01228,Aliceville city,Place in Census 2000
01,01396,02405136,Allgood town,01,01396,Allgood town,Place in Census 2000
01,01660,02405146,Altoona town,01,01660,Altoona town,Place in Census 2000
01,01708,02403097,Andalusia city,01,01708,Andalusia city,Place in Census 2000
01,01756,02405149,Anderson town,01,01756,Anderson town,Place in Census 2000
01,01852,02403101,Anniston city,01,01852,Anniston city,Place in Census 2000
01,02116,02403104,Arab city,01,02116,Arab city,Place in Census 2000
01,02260,02405163,Ardmore town,01,02260,Ardmore town,Place in Census 2000
01,02320,02405164,Argo town,01,02320,Argo town,Place in Census 2000
01,02428,02405166,Ariton town,01,02428,Ariton town,Place in Census 2000
01,02500,02405167,Arley town,01,02500,Arley town,Place in Census 2000
01,02836,02405172,Ashford town,01,02836,Ashford city,Place in Census 2000
01,02860,02405173,Ashland town,01,02860,Ashland city,Place in Census 2000
01,02908,02403122,Ashville city,01,02908,Ashville town,Place in Census 2000
01,02956,02403123,Athens city,01,02956,Athens city,Place in Census 2000
01,03004,02403129,Atmore city,01,03004,Atmore city,Place in Census 2000
01,03028,02403130,Attalla city,01,03028,Attalla city,Place in Census 2000
01,03076,02403132,Auburn city,01,03076,Auburn city,Place in Census 2000
01,03220,02405187,Autaugaville town,01,03220,Autaugaville town,Place in Census 2000
01,03364,02405191,Avon town,01,03364,Avon town,Place in Census 2000
01,03508,02628577,Axis CDP,,,,New CDP defined from area not in a 2000 place
01,03556,02405195,Babbie town,01,03556,Babbie town,Place in Census 2000
