"county","cousubfp","cbsa10","cntyname","cousubnm","cbsaname10","pop10","afact"
"County code","County subdivision code","CBSA (2010)","County name","County subdivision name","2010 CBSA name","Population (2010)","cousubfp to cbsa10 allocation factor"
"01001","90171","33860","Autauga AL","Autaugaville CCD","Montgomery, AL Metropolitan Statistical Area",3320,1 
"01001","90315","33860","Autauga AL","Billingsley CCD","Montgomery, AL Metropolitan Statistical Area",2894,1 
"01001","92106","33860","Autauga AL","Marbury CCD","Montgomery, AL Metropolitan Statistical Area",5675,1 
"01001","92628","33860","Autauga AL","Prattville CCD","Montgomery, AL Metropolitan Statistical Area",42682,1 
"01003","90207","19300","Baldwin AL","Bay Minette CCD","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",23604,1 
"01003","90846","19300","Baldwin AL","Daphne CCD","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",41295,1 
"01003","90963","19300","Baldwin AL","Elberta CCD","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",10957,1 
"01003","91053","19300","Baldwin AL","Fairhope CCD","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",25894,1 
"01003","91152","19300","Baldwin AL","Foley CCD","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",48089,1 
"01003","92754","19300","Baldwin AL","Robertsdale CCD","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",24317,1 
"01003","93024","19300","Baldwin AL","Stockton CCD","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",3804,1 
"01003","93042","19300","Baldwin AL","Summerdale CCD","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",4305,1 
"01005","90189","21640","Barbour AL","Bakerhill CCD","Eufaula, AL-GA Micropolitan Statistical Area",3467,1 
"01005","90630","21640","Barbour AL","Clayton CCD","Eufaula, AL-GA Micropolitan Statistical Area",4264,1 
"01005","90648","21640","Barbour AL","Clio CCD","Eufaula, AL-GA Micropolitan Statistical Area",4303,1 
"01005","91017","21640","Barbour AL","Eufaula CCD","Eufaula, AL-GA Micropolitan Statistical Area",13785,1 
"01005","91989","21640","Barbour AL","Louisville CCD","Eufaula, AL-GA Micropolitan Statistical Area",1638,1 
"01007","90531","13820","Bibb AL","Centreville-Brent CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",12937,1 
"01007","92601","13820","Bibb AL","Piper-Coleanor CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",1221,1 
"01007","93438","13820","Bibb AL","West Blocton CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",8757,1 
"01009","90333","13820","Blount AL","Blountsville CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",7330,1 
"01009","90414","13820","Blount AL","Brooksville CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",4451,1 
"01009","90612","13820","Blount AL","Clarence CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",5269,1 
"01009","90639","13820","Blount AL","Cleveland CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",3789,1 
"01009","91557","13820","Blount AL","Hayden CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",12844,1 
"01009","91953","13820","Blount AL","Locust Fork CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",8731,1 
"01009","92439","13820","Blount AL","Oneonta CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",14908,1 
"01011","91098","99999","Bullock AL","Fitzpatrick CCD","99999",750,1 
"01011","91701","99999","Bullock AL","Inverness CCD","99999",1628,1 
"01011","92133","99999","Bullock AL","Midway CCD","99999",1434,1 
"01011","93249","99999","Bullock AL","Union Springs CCD","99999",7102,1 
"01013","90540","99999","Butler AL","Chapman CCD","99999",1774,1 
"01013","91170","99999","Butler AL","Forest Home CCD","99999",1469,1 
"01013","91314","99999","Butler AL","Georgiana-McKenzie CCD","99999",4341,1 
"01013","91422","99999","Butler AL","Greenville CCD","99999",13363,1 
"01015","90066","11500","Calhoun AL","Alexandria-Webster Chapel CCD","Anniston-Oxford, AL Metropolitan Statistical Area",11730,1 
"01015","90099","11500","Calhoun AL","Anniston CCD","Anniston-Oxford, AL Metropolitan Statistical Area",68662,1 
"01015","90585","11500","Calhoun AL","Choccolocco CCD","Anniston-Oxford, AL Metropolitan Statistical Area",7348,1 
"01015","91746","11500","Calhoun AL","Jacksonville CCD","Anniston-Oxford, AL Metropolitan Statistical Area",18722,1 
"01015","92430","11500","Calhoun AL","Ohatchee CCD","Anniston-Oxford, AL Metropolitan Statistical Area",4615,1 
"01015","92556","11500","Calhoun AL","Piedmont CCD","Anniston-Oxford, AL Metropolitan Statistical Area",7495,1 
"01017","91107","46740","Chambers AL","Five Points CCD","Valley, AL Micropolitan Statistical Area",2537,1 
"01017","91818","46740","Chambers AL","La Fayette CCD","Valley, AL Micropolitan Statistical Area",5427,1 
"01017","91827","46740","Chambers AL","Lanett CCD","Valley, AL Micropolitan Statistical Area",9961,1 
"01017","92169","46740","Chambers AL","Milltown CCD","Valley, AL Micropolitan Statistical Area",1082,1 
"01017","93272","46740","Chambers AL","Valley CCD","Valley, AL Micropolitan Statistical Area",13966,1 
"01017","93393","46740","Chambers AL","Waverly CCD","Valley, AL Micropolitan Statistical Area",1242,1 
"01019","90513","99999","Cherokee AL","Cedar Bluff-Gaylesville CCD","99999",7204,1 
"01019","90522","99999","Cherokee AL","Centre CCD","99999",8252,1 
"01019","91854","99999","Cherokee AL","Leesburg CCD","99999",5561,1 
"01019","92983","99999","Cherokee AL","Spring Garden CCD","99999",4972,1 
"01021","90603","13820","Chilton AL","Clanton CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",14329,1 
"01021","91710","13820","Chilton AL","Isabella-Pletcher CCD","Birmingham-Hoover, AL Metropolitan Statistical Area",3261,1 
