"state","placefp","cbsa10","stab","placenm","cbsaname10","pop10","afact"
"State code","Place code","CBSA (2010)","State abbreviation","Place name","2010 CBSA name","Population (2010)","placefp to cbsa10 allocation factor"
"01","00100","46740","AL","Abanda CDP, AL","Valley, AL Micropolitan Statistical Area",192,1 
"01","00124","20020","AL","Abbeville city, AL","Dothan, AL Metropolitan Statistical Area",2688,1 
"01","00460","13820","AL","Adamsville city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",4522,1 
"01","00484","99999","AL","Addison town, AL","99999",758,1 
"01","00676","46220","AL","Akron town, AL","Tuscaloosa, AL Metropolitan Statistical Area",356,1 
"01","00820","13820","AL","Alabaster city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",30352,1 
"01","00988","10700","AL","Albertville city, AL","Albertville, AL Micropolitan Statistical Area",21160,1 
"01","01132","10760","AL","Alexander City city, AL","Alexander City, AL Micropolitan Statistical Area",14875,1 
"01","01180","11500","AL","Alexandria CDP, AL","Anniston-Oxford, AL Metropolitan Statistical Area",3917,1 
"01","01228","99999","AL","Aliceville city, AL","99999",2486,1 
"01","01396","13820","AL","Allgood town, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",622,1 
"01","01660","13820","AL","Altoona town, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",30,0.032 
"01","01660","23460","AL","Altoona town, AL","Gadsden, AL Metropolitan Statistical Area",903,0.968 
"01","01708","99999","AL","Andalusia city, AL","99999",9015,1 
"01","01756","22520","AL","Anderson town, AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area",282,1 
"01","01852","11500","AL","Anniston city, AL","Anniston-Oxford, AL Metropolitan Statistical Area",23106,1 
"01","02116","10700","AL","Arab city, AL","Albertville, AL Micropolitan Statistical Area",8023,0.997 
"01","02116","18980","AL","Arab city, AL","Cullman, AL Micropolitan Statistical Area",27,0.003 
"01","02260","26620","AL","Ardmore town, AL","Huntsville, AL Metropolitan Statistical Area",1194,1 
"01","02320","13820","AL","Argo town, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",4071,1 
"01","02428","21460","AL","Ariton town, AL","Enterprise-Ozark, AL Micropolitan Statistical Area",764,1 
